stage,phase,epoch,train_loss,val_loss,val_macro_f1
stage1,head,1,0.9571096654099542,0.7108402098117231,0.85051417391691
stage1,head,2,0.7338885027429332,0.6418524777132367,0.8718462634483662
stage1,head,3,0.6640117735678447,0.61040869922865,0.8800367323652647
stage1,finetune,4,0.6146967134613922,0.5899710704545045,0.893137591136379
stage1,finetune,5,0.6263153171193773,0.5807561101286319,0.8788147417638772
stage1,finetune,6,0.5878602249034937,0.5589394458567475,0.8857521172966919
stage1,finetune,7,0.5801859343685389,0.5560326057226479,0.8927199203101173
stage1,finetune,8,0.5728308854759603,0.5536461682681865,0.896194451307462
stage2,head,1,0.6298937875291576,0.626403295993805,0.7648123143366641
stage2,head,2,0.5581825194151505,0.556498235464096,0.785328320802005
stage2,finetune,3,0.49790097967438074,0.5783414781093598,0.7826680550734698
stage2,finetune,4,0.5002577719481095,0.5566878736019134,0.7826169339581454
stage2,finetune,5,0.5092512395070947,0.556277972459793,0.789213489715806
stage2,finetune,6,0.4822372522043145,0.5434487164020538,0.7893138363346904
stage2,finetune,7,0.5059860063635785,0.5510076940059662,0.7808452290145654
stage2,finetune,8,0.4903803351132766,0.5311894834041595,0.7950654173966096
stage2,finetune,9,0.5179970977099045,0.5122669279575348,0.7966100978484879
stage2,finetune,10,0.49209658477617346,0.52069211602211,0.8020584590111348
stage2,finetune,11,0.49814623853434686,0.5101525366306305,0.801758540700947
stage2,finetune,12,0.45287565433460736,0.49904865622520445,0.8141277876352504
